# line thread mrep count
1 1 skip_list 130710
2 1 cuckoo 265881
4 2 skip_list 109354
5 2 cuckoo 191225
7 4 skip_list 102617
8 4 cuckoo 313605
10 8 skip_list 85988
11 8 cuckoo 301340
13 16 skip_list 68349
14 16 cuckoo 297606
