# line thread mrep count
1 1 skip_list 121803
2 1 cuckoo 176681
3 1 prefix_hash 143802
4 1 hash_linkedlist 135011
6 2 skip_list 100880
7 2 cuckoo 133251
8 2 prefix_hash 116516
9 2 hash_linkedlist 115585
11 4 skip_list 119018
12 4 cuckoo 198181
13 4 prefix_hash 153902
14 4 hash_linkedlist 143020
16 8 skip_list 118243
17 8 cuckoo 268191
18 8 prefix_hash 180227
19 8 hash_linkedlist 159002
21 16 skip_list 128167
22 16 cuckoo 320481
23 16 prefix_hash 195950
24 16 hash_linkedlist 141221
