# line thread mrep count
1 1 skip_list 145508
2 1 cuckoo 156614
3 1 prefix_hash 146803
4 1 hash_linkedlist 133895
6 2 skip_list 120109
7 2 cuckoo 142570
8 2 prefix_hash 125484
9 2 hash_linkedlist 113938
11 4 skip_list 130684
12 4 cuckoo 222740
13 4 prefix_hash 170939
14 4 hash_linkedlist 146227
16 8 skip_list 120796
17 8 cuckoo 292432
18 8 prefix_hash 215827
19 8 hash_linkedlist 191255
21 16 skip_list 127425
22 16 cuckoo 337641
23 16 prefix_hash 254164
24 16 hash_linkedlist 182353
