# line thread mrep count
1 1 skip_list 1000000
2 1 cuckoo 1000000
4 2 skip_list 2000000
5 2 cuckoo 2000000
7 4 skip_list 4000000
8 4 cuckoo 4000000
10 8 skip_list 8000000
11 8 cuckoo 8000000
13 16 skip_list 16000000
14 16 cuckoo 16000000
