# line thread mrep count
2 2 skip_list 9794189
3 2 cuckoo 9887624
5 4 skip_list 19850187
6 4 cuckoo 19765326
8 8 skip_list 39749026
9 8 cuckoo 39982413
11 16 skip_list 79608812
12 16 cuckoo 79939011
