# line thread mrep count
1 1 skip_list
2 1 cuckoo
4 2 skip_list
5 2 cuckoo
7 4 skip_list
8 4 cuckoo
10 8 skip_list
11 8 cuckoo
13 16 skip_list
14 16 cuckoo
