# line thread mrep count
2 2 skip_list 7708757
3 2 cuckoo 6884798
5 4 skip_list 15563663
6 4 cuckoo 15477288
8 8 skip_list 31670293
9 8 cuckoo 31921141
11 16 skip_list 63446277
12 16 cuckoo 63053367
