# line thread mrep count
2 2 skip_list 205811
3 2 cuckoo 112376
5 4 skip_list 149813
6 4 cuckoo 234674
8 8 skip_list 250974
9 8 cuckoo 17587
11 16 skip_list 391188
12 16 cuckoo 60989
