# line thread mrep count
2 2 skip_list 295247
3 2 cuckoo 288246
5 4 skip_list 497771
6 4 cuckoo 502042
8 8 skip_list 709597
9 8 cuckoo 712615
11 16 skip_list 768720
12 16 cuckoo 756943
