# line thread mrep count
1 1 skip_list 291590
2 1 cuckoo 377158
3 1 prefix_hash 363327
4 1 hash_linkedlist 390343
6 2 skip_list 290185
7 2 cuckoo 295766
8 2 prefix_hash 299667
9 2 hash_linkedlist 252909
11 4 skip_list 468245
12 4 cuckoo 430956
13 4 prefix_hash 374364
14 4 hash_linkedlist 387534
16 8 skip_list 489060
17 8 cuckoo 420739
18 8 prefix_hash 368667
19 8 hash_linkedlist 387306
21 16 skip_list 486022
22 16 cuckoo 414708
23 16 prefix_hash 370996
24 16 hash_linkedlist 381586
