# line thread mrep count
1 1 skip_list 310297
2 1 cuckoo 420055
3 1 prefixhash 310396
5 2 skip_list 287353
6 2 cuckoo 292848
7 2 prefixhash 293140
9 4 skip_list 485495
10 4 cuckoo 510322
11 4 prefixhash 437488
13 8 skip_list 770730
14 8 cuckoo 791566
15 8 prefixhash 482180
17 16 skip_list 1027462
18 16 cuckoo 1109508
19 16 prefixhash 546180
